PeakID	Annotation
1-73485	promoter
1-33938	promoter
1-119243	enhancer
1-68284	enhancer
1-11989	enhancer
1-69495	promoter
1-50906	enhancer
1-94876	promoter
1-74309	enhancer
1-41899	promoter
1-140640	promoter
1-98095	promoter
1-74646	enhancer
1-111163	enhancer
1-2082	promoter
1-103266	enhancer
1-19328	enhancer
1-105484	promoter
1-46528	promoter
1-5082	promoter
1-75765	promoter
1-134786	enhancer
1-62386	enhancer
1-12647	enhancer
1-8760	promoter
1-92812	promoter
1-11017	promoter
1-56724	enhancer
1-86189	enhancer
1-44851	promoter
1-45459	enhancer
1-3232	enhancer
1-51671	promoter
1-43074	enhancer
1-90256	promoter
1-146821	enhancer
1-103974	promoter
1-130777	enhancer
1-84232	enhancer
1-122658	promoter
1-91938	enhancer
1-66856	promoter
1-117874	promoter
1-32534	enhancer
1-47704	enhancer
1-125129	enhancer
1-113671	promoter
1-115312	promoter
1-141552	enhancer
1-100184	enhancer
1-50177	enhancer
1-37997	enhancer
1-69459	promoter
1-105265	enhancer
1-98669	enhancer
1-134363	enhancer
1-90173	enhancer
1-66318	promoter
1-76710	promoter
1-135911	promoter
1-146077	promoter
1-82224	enhancer
1-83627	promoter
1-129984	enhancer
1-130667	promoter
1-42258	enhancer
1-4428	enhancer
1-139836	enhancer
1-106656	promoter
1-132474	promoter
1-106699	enhancer
1-128045	enhancer
1-121673	promoter
1-62467	promoter
1-49995	enhancer
1-72588	promoter
1-68380	promoter
1-118248	enhancer
1-90156	enhancer
1-1695	promoter
1-89907	promoter
1-94285	enhancer
1-107757	promoter
1-75675	promoter
1-28995	promoter
1-114529	promoter
1-76700	promoter
1-60679	promoter
1-40688	enhancer
1-15503	promoter
1-127738	enhancer
1-103561	promoter
1-135607	promoter
1-84432	promoter
1-94910	enhancer
1-94050	promoter
1-49499	enhancer
1-124110	promoter
1-135875	promoter
1-83457	promoter
1-129533	enhancer
1-93466	enhancer
1-145430	promoter
1-44019	promoter
1-68174	promoter
1-87955	promoter
1-77699	promoter
1-12551	promoter
1-113799	enhancer
1-124039	promoter
1-6637	promoter
1-24894	enhancer
1-9838	promoter
1-46651	enhancer
1-26177	enhancer
1-68472	enhancer
1-109449	enhancer
1-68729	promoter
1-2131	enhancer
1-137545	promoter
1-94965	enhancer
1-62942	enhancer
1-48992	promoter
1-131869	enhancer
1-125951	promoter
1-113303	enhancer
1-125336	promoter
1-10077	enhancer
1-83163	promoter
1-43288	promoter
1-33353	enhancer
1-78012	enhancer
1-75728	promoter
1-82274	promoter
1-5669	promoter
1-84672	enhancer
1-46354	promoter
1-100833	promoter
1-103747	promoter
1-21715	promoter
1-38726	enhancer
1-78666	promoter
1-29296	promoter
1-117162	promoter
1-106947	enhancer
1-125035	enhancer
1-75058	enhancer
1-83479	promoter
1-97942	promoter
1-75589	promoter
1-35102	enhancer
1-126915	enhancer
1-137441	enhancer
1-72864	promoter
1-974	enhancer
1-40349	enhancer
1-23073	promoter
1-2876	enhancer
1-146317	promoter
1-26365	promoter
1-56116	promoter
1-34013	promoter
1-71662	promoter
1-138844	promoter
1-30388	promoter
1-18227	enhancer
1-34156	promoter
1-77057	promoter
1-67323	enhancer
1-141771	promoter
1-4151	enhancer
1-24163	enhancer
1-36330	promoter
1-74520	enhancer
1-7616	promoter
1-14218	enhancer
1-111876	enhancer
1-55263	enhancer
1-60754	promoter
1-74984	enhancer
1-82600	enhancer
1-128465	enhancer
1-107350	promoter
1-128002	promoter
1-84121	promoter
1-2393	promoter
1-33429	enhancer
1-66586	enhancer
1-90711	enhancer
1-118182	enhancer
1-112959	enhancer
1-59054	promoter
1-127548	promoter
1-126998	promoter
1-96836	promoter
1-1380	enhancer
1-1084	promoter
1-143169	promoter
1-146564	promoter
1-121761	enhancer
1-98652	enhancer
1-134329	enhancer
1-148683	enhancer
1-80776	promoter
1-144630	promoter
1-114606	enhancer
1-38505	promoter
1-13864	promoter
1-64965	enhancer
1-86667	promoter
1-36725	promoter
1-36003	enhancer
1-6411	enhancer
